data,horario,tbs,umidade,globo metalico,globo plastico,itgu,itu,orvalho
2021-02-25,06:30:00,24.98,83.82,25.0,25.0,74.43889523895989,74.43889523895989,75.27,22.05248677488857
2021-02-25,06:40:00,25.52,82.2,26.0,26.0,75.51348481648793,75.51348481648793,75.99,22.259680045799797
2021-02-25,06:50:00,25.99,80.61,26.69,26.5,76.25279947889962,76.06279947889962,76.57,22.396665219165598
2021-02-25,07:00:00,26.7,77.06,27.5,27.0,77.0442798830934,76.5442798830934,77.28,22.345221897481657
2021-02-25,07:10:00,27.37,74.57,28.12,28.0,77.70277558237126,77.58277558237126,78.01,22.452154395475713
2021-02-25,07:20:00,27.06,76.05,28.38,28.5,77.9714937640273,78.09149376402729,77.71,22.4763715667425
2021-02-25,07:30:00,27.29,74.2,28.06,28.0,77.58557397999088,77.52557397999088,77.85,22.293261055530238
2021-02-25,07:40:00,28.1,72.24,28.25,28.0,77.89741854705812,77.64741854705812,78.82,22.63171818627254
2021-02-25,07:50:00,28.49,68.33,29.81,29.5,79.26234280826563,78.95234280826563,78.88,22.08984113407118
2021-02-25,08:00:00,28.5,68.01,29.87,29.5,79.29804985127994,78.92804985127994,78.85,22.022360697999833
2021-02-25,08:10:00,28.92,65.4,30.37,30.0,79.71091682489197,79.34091682489196,79.1,21.780324513588795
2021-02-25,08:20:00,29.54,60.22,31.06,30.5,80.12651594633307,79.56651594633308,79.23,21.018099850925214
2021-02-25,08:30:00,29.67,62.08,30.94,31.0,80.22919101488716,80.28919101488717,79.69,21.636641708019923
2021-02-25,08:40:00,30.47,58.85,31.75,31.5,80.99512210534107,80.74512210534107,80.31,21.514228070391834
2021-02-25,08:50:00,30.27,55.57,32.19,32.0,81.03210044840591,80.84210044840592,79.53,20.394723467794197
2021-02-25,09:00:00,29.45,57.71,31.37,31.5,80.1574396174637,80.2874396174637,78.72,20.24288782628806
2021-02-25,09:10:00,31.36,53.49,32.25,32.0,81.23292092135202,80.98292092135202,80.66,20.785891448200076
2021-02-25,09:20:00,32.1,50.39,33.88,33.0,82.75939935944194,81.87939935944195,81.11,20.49833155400541
2021-02-25,09:30:00,31.35,51.64,33.63,33.5,82.4041556442789,82.27415564427889,80.33,20.205987900774726
2021-02-25,09:40:00,31.84,49.55,34.06,33.5,82.75568040468718,82.19568040468718,80.62,19.98800112413107
